,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,3.816234341215793,4.240323308594759,4.19338862613181,5.25759333577964,6.9886441080974375,8.238033259106476,5.91630814133138,4.66294242091436,5.781898485982657
1921-1930,3.816234341215793,0.0,4.197132252707324,3.970135164618093,5.569086222517419,7.262994715513361,8.46397844423923,6.270583891368107,4.48607138476441,5.464175221215423
1931-1940,4.240323308594759,4.197132252707324,0.0,4.563669820102729,4.512008476536981,6.404533770471537,7.702093202067177,5.645286309934478,4.279494998003088,5.026312821830612
1941-1950,4.19338862613181,3.970135164618093,4.563669820102729,0.0,6.134780874933108,7.528167684313617,8.916980655299833,6.76292355849229,4.913273778050361,6.190870055486498
1951-1960,5.25759333577964,5.569086222517419,4.512008476536981,6.134780874933108,0.0,5.127461908204642,6.192765938082889,4.800711344709371,5.060001227112123,5.755526987420641
1961-1970,6.9886441080974375,7.262994715513361,6.404533770471537,7.528167684313617,5.127461908204642,0.0,5.778805908181531,5.2159825626766425,6.464257385525463,7.091045734852881
1971-1980,8.238033259106476,8.46397844423923,7.702093202067177,8.916980655299833,6.192765938082889,5.778805908181531,0.0,5.528291238760401,7.428668415643596,8.556167937619984
1981-1990,5.91630814133138,6.270583891368107,5.645286309934478,6.76292355849229,4.800711344709371,5.2159825626766425,5.528291238760401,0.0,5.583142708057227,6.667347161927346
2001-2010,4.66294242091436,4.48607138476441,4.279494998003088,4.913273778050361,5.060001227112123,6.464257385525463,7.428668415643596,5.583142708057227,0.0,5.170717273070557
2011-2018,5.781898485982657,5.464175221215423,5.026312821830612,6.190870055486498,5.755526987420641,7.091045734852881,8.556167937619984,6.667347161927346,5.170717273070557,0.0
