,1901-1910,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,21.122934878625326,19.68798171818596,18.99186368841917,20.265676517014644,20.709819798484812,19.984581696801698,17.368191152314424,21.173701060280823,21.623988940411362,19.622487376366937
1921-1930,21.122934878625326,0.0,10.425227944650628,7.577714222429104,10.212355701302249,6.78002012411656,7.124662295325307,9.974850109555561,8.30628676616287,3.8215415729655318,7.831913981035663
1931-1940,19.68798171818596,10.425227944650628,0.0,6.805106858529337,7.122425887122829,6.102610066715224,6.968266567348348,8.183048317767755,11.841318013525568,9.562008189105352,7.03717364534092
1941-1950,18.99186368841917,7.577714222429104,6.805106858529337,0.0,8.084471532004534,4.845715092276531,4.863405343886451,7.020270115729358,8.216883328292292,7.279008762876118,3.9162324891523146
1951-1960,20.265676517014644,10.212355701302249,7.122425887122829,8.084471532004534,0.0,7.323150397333189,7.00556652432034,10.250142104168017,11.25795986818865,9.809068747810374,8.124742307250074
1961-1970,20.709819798484812,6.78002012411656,6.102610066715224,4.845715092276531,7.323150397333189,0.0,4.894699854671328,8.00809307488744,8.20327067535486,6.217751748863922,4.840122324985235
1971-1980,19.984581696801698,7.124662295325307,6.968266567348348,4.863405343886451,7.00556652432034,4.894699854671328,0.0,8.201396907817797,8.926583568616788,6.34303979236773,5.129526761605618
1981-1990,17.368191152314424,9.974850109555561,8.183048317767755,7.020270115729358,10.250142104168017,8.00809307488744,8.201396907817797,0.0,11.652630026913924,9.96980862021888,8.098467102598399
1991-2000,21.173701060280823,8.30628676616287,11.841318013525568,8.216883328292292,11.25795986818865,8.20327067535486,8.926583568616788,11.652630026913924,0.0,8.974946462263384,8.275642066689333
2001-2010,21.623988940411362,3.8215415729655318,9.562008189105352,7.279008762876118,9.809068747810374,6.217751748863922,6.34303979236773,9.96980862021888,8.974946462263384,0.0,7.268895589226265
2011-2018,19.622487376366937,7.831913981035663,7.03717364534092,3.9162324891523146,8.124742307250074,4.840122324985235,5.129526761605618,8.098467102598399,8.275642066689333,7.268895589226265,0.0
